letterInfo_ID,post_ID,letter_date,letter_dbdate,manuscript_location,letter_fromAddress,letter_footnote
2474,2526,April 13th1875,1875-04-13,"MS Harvard University, Houghton Library","Elderfield, Otterbourne, Winchester.","[[footnote:1]]In fact CMY was being sanguine in supposing that Freeman, the editor of the \'Historical Course for Schools\' in which her <i>History of France</i> was to appear,  considered her book ready for the press."
2475,2527,April 19th 1875,1875-04-19,"MS Taylor Institution, Oxford",,
2476,2528,April 20th 1875,1875-04-20,"MS Girton College Cambridge, Yonge VIII 4","Elderfield, Otterbourne, Winchester.","[[footnote:1]]William Parsons Warburton, <i>Edward III</i> (1874). CMY was still recommending it in 1881: see Coleridge, <i>Life</i>, 56.  It appeared in the \'Epochs of Modern History\' series.

<br/>"
2477,2529,April 24th 1875,1875-04-24,"MS Harry Ransom Humanities Research Center, University of Texas, Austin.","Elderfield, Otterbourne, Winchester.",
2577,2629,April 25th [1875] [[footnote:1]],1875-04-25,MS British Library Add MSS 54921: 9 ,"Elderfield, Otterbourne, Winchester.","[[footnote:1]]The year is hard to read and the letter has been filed under 1875.

[[footnote:2]]CMY\'s [[cmybook:99]<i>History of France</i>] had been heavily revised after criticism from E. A. Freeman, the editor of the \'Historical Course for Schools\' series.<br/>"
2478,2530,April 27th 1875,1875-04-27,"MS Girton College Cambridge, Yonge VIII 5","Elderfield, Otterbourne, Winchester.",<br/>
2479,2531,May 13th 1875,1875-05-13,"MS Columbia University Library, New York:  Lohf Collection","Elderfield, Otterbourne, Winchester.",<br/>
2480,2532,May 24th 1875,1875-05-24,MS Mrs Clare Roels,"Elderfield, Otterbourne, Winchester.","[[footnote:1]]This was the deadline for the submission of MSS for the Christmas number of <i>MP</i>.

[[footnote:2]]Geraldine Butt and Mary Avice Butler were both members of the [[other:104]Gosling Society], of which Christabel Coleridge was the administrator.

[[footnote:3]]Coleridge\'s cousin Margaret Helmore was the author of <i>Cap and Bells</i>, whose hero is horrified to discover that he is probably illegitimate, but subsequently turns out to have been changed at birth.

<br/>"
3488,3540,June 22 [after 1875],1875-06-22,MS UCLA: collection 100: box 95,Elderfield,
3576,7267,July 13th 1875,1875-07-13,MS Jonathon Waugh,,[[footnote:1]]Neither article has been identified in <i>[[other:52]MP]</i>.
2481,2533,July 31st 1875,1875-07-31,MS Mrs Clare Roels[[footnote:1]],"Elderfield, Otterbourne, Winchester.","[[footnote:1]]The envelope also engraved on flap with address, postmarked Winchester 31 July 1875 and addressed to ‘Miss C.R.Coleridge/ Hanwell Rectory/Middlesex’.

[[footnote:2]]Coleridge\'s novel <i>Hugh Crichton\'s Romance</i> was published in November 1875.

<br/>"
