cmy_bookID,title,date,genre_old,genre,category,format,publisher,serialization,illustrator,notes,display_title,sort_title,","
151,"<i>Catharine of Aragon and the Sources of the English Reformation.</i> By Albert Du Boys. Edited from the French, with notes, by Charlotte M. Yonge, author of “The Heir of Redclyffe” &c. &c.. 2 vols",1881,Edited translation,Edited translation,Editorial work and prefaces,Edited book,"London : Hurst and Blackett, 13 Great Marlborough Street.",NA,NA,NA,"Catharine of Aragon and the Sources of the English Reformation.By Albert Du Boys. Edited from the French, with notes, by Charlotte M. Yonge, author of “The Heir of Redclyffe” &c. &c.. 2 vols",Catharine of Aragon and the Sources of the English Reformation.,
152,<i>Langley Little Ones: Six Stories by Charlotte M. Yonge</i>,1882,Fiction (modern),Fiction (modern),Fiction,Book,"Walter Smith (late Mozley), 34 King Street, Covent Garden, London","The stories are ‘Quack, Quack’; ‘Bully Brindle’; ‘Snowdrop’s Eggs’; ‘Fanny’s Doll’; ‘A Miller, a Mo",NA,NA,Langley Little Ones: Six Stories by Charlotte M. Yonge,Langley Little Ones: Six Stories by Charlotte M. Yonge,
153,<i>Whispers of Love and Wisdom. </i>Collected and arranged by Annie Cazenove; with a preface by C.M. Yonge.,1882,Non-fiction: critical preface,Non-fiction: critical preface,Editorial work and prefaces,Preface to book,"Griffith and Farran, London.",NA,NA,NA,Whispers of Love and Wisdom. Collected and arranged by Annie Cazenove; with a preface by C.M. Yonge.,Whispers of Love and Wisdom. ,
154,"<i>Pickle and his Page Boy, or, Unlooked For: A Story.</i>",1882,Fiction (modern),Fiction (modern),Fiction,Book,"Walter Smith (late Mozley), 34 King Street, Covent Garden, London.",NA,NA,NA,"Pickle and his Page Boy, or, Unlooked For: A Story.","Pickle and his Page Boy, or, Unlooked For: A Story.",
155,"<i>Millar, a Mollar, a Ten o’clock Scholar, A</i>",n.d.,Fiction,Fiction,Fiction,Booklet,"Walter Smith (late Mozley), 34 King Street, Covent Garden, London.","Also in collection, <i>Langley Little Ones</i> (1882)",NA,NA,"A Millar, a Mollar, a Ten o’clock Scholar","Millar, a Mollar, a Ten o’clock Scholar",
156,"<i>Historical Ballads Arranged to meet the New Code of 1882</i>, Schedule II, English.",1882,Non-fiction: critical anthology,Non-fiction: critical anthology,Editorial work and prefaces,Edited book,"National Society’s Depository, Broad Sanctuary, London.",NA,NA,"This seems to have been a work in three parts of which the first two were entitled Historical Ballads, and the third (aimed at older children) Historical Poetry.
Historical Ballads: Part I., for Standards II. and III
Historical Ballads: Part II., for Standards IV. and V.
Historical Poetry: Part III, for Standards VI. and VII edited and annotated by Charlotte M. Yonge, author of \'Cameos from English history\', \\""The heir of Redclyffe\', &c.; arranged to meet the New Code of 1882, Schedule II., English.","Historical Ballads Arranged to meet the New Code of 1882, Schedule II, English.",Historical Ballads Arranged to meet the New Code of 1882,
157,<i>Unknown to History: A Story of the Captivity of Mary of Scotland.</i> 2 vols.,1882,Fiction (historical),Fiction (historical),Fiction,Book,London and New York: Macmillan and Company.,NA,Illustrated by W. Hennessy.,NA,Unknown to History: A Story of the Captivity of Mary of Scotland.2 vols.,Unknown to History: A Story of the Captivity of Mary of Scotland.,
158,"<i>Pictorial History of the World’s Great Nations, from the Earliest Dates to the Present Time, A</i>. 2 vols",1882,Non-fiction: history,Non-fiction: history,Non-fiction,Book,New York: Selmar Hess.,NA,Illustrated,NA,"A Pictorial History of the World’s Great Nations, from the Earliest Dates to the Present Time. 2 vols","Pictorial History of the World’s Great Nations, from the Earliest Dates to the Present Time",
159,<i>Given to Hospitality.</i>,1882,Non-fiction: advice to charity workers,Non-fiction: advice to charity workers,Non-fiction,Pamphlet,"Walter Smith (late Mozley), 34 King Street, Covent Garden, London.",Reprinted from<i> MP</i> May 1882,NA,A pamphlet encouraging people to have convalescents to stay.,Given to Hospitality.,Given to Hospitality.,
160,"<i>Talks about the Laws we Live under, or, At Langley Night-School.</i>",1882,Non-fiction: advice book,Non-fiction: advice book,Non-fiction,Book,"Walter Smith (late Mozley), 34 King Street, Covent Garden, London.",NA,NA,NA,"Talks about the Laws we Live under, or, At Langley Night-School.","Talks about the Laws we Live under, or, At Langley Night-School.",
161,"<i>Sparks of Light for Everyday. </i>Collected by Madame Guizot de Witt, done into English by the translator of ‘Gold Dust’ [E.L.E.B.]. Edited by Charlotte M. Yonge.",1882,Edited translation,Edited translation,Editorial work and prefaces,Edited book,"London: J. Masters & Co., 78, New Bond Street",NA,NA,E.L.E.B. is possibly CMY’s neighbour Ella L.E.Burlton.,"Sparks of Light for Everyday. Collected by Madame Guizot de Witt, done into English by the translator of ‘Gold Dust’ [E.L.E.B.]. Edited by Charlotte M. Yonge.",Sparks of Light for Everyday. ,
162,"<i>Behind the Hedges, or, The War in La Vendée.</i> By Madame de Witt, the translation edited by Charlotte M. Yonge, author of \""The Heir of Redclyffe\""",1882,Edited translation,Edited translation,Editorial work and prefaces,Edited book,"London: Frederick Warne and Co., Bedford Street, Covent Garden.",NA,Illustrated,"Later editions credit the translator as E[mily]. M[illard]., who translated a number of other works by Henriette de Witt.","Behind the Hedges, or, The War in La Vendée.By Madame de Witt, the translation edited by Charlotte M. Yonge, author of \""The Heir of Redclyffe\""","Behind the Hedges, or, The War in La Vendée.",
163,"<i>Langley Adventures</i>. By Charlotte M. Yonge, author of “Langley School”",1883,Fiction:,Fiction:,Fiction,Book,"Walter Smith (late Mozley), 34, King Street, Covent Garden, London.",‘Burrs’ seems to have been published slightly earlier in a parish magazine.,NA,Contains: ‘A Patchwork fever’; ‘Widow Wilder’s Windfall’; ‘Burrs’; ‘Left Out’; and ‘Horse Sausage’.,"Langley Adventures. By Charlotte M. Yonge, author of “Langley School”",Langley Adventures,
164,"<i>New National Poetry Cards, Standards 6 and 7.</i>  Edited and Annotated by Charlotte M. Yonge.",1883,Non-fiction: critical anthology,Non-fiction: critical anthology,Editorial work and prefaces,18cm [???],"London: National Society’s Depository, Broad Sanctuary, Westminster.",NA,NA,NA,"New National Poetry Cards, Standards 6 and 7.Edited and Annotated by Charlotte M. Yonge.","New National Poetry Cards, Standards 6 and 7.",
165,"<i>Miz Maze, or, The Winkworth Puzzle: A Story in Letters by Nine Authors, The</i>",1883,Fiction,Fiction in collaboration,Fiction,Book,"Macmillan and Co., London.",NA,NA,"The signatures of the nine authors appear on the reverse of the title page. They are: Frances Awdry, Mary Bramston, Christabel Rose Coleridge, A.E. Mary Anderson Morshead, Charlotte Mary Yonge, Frances Mary Peard, Mary Susanna Lee, Eleanor C. Price, Florence Wilford.","The Miz Maze, or, The Winkworth Puzzle: A Story in Letters by Nine Authors","Miz Maze, or, The Winkworth Puzzle: A Story in Letters by Nine Authors",
166,<i>Sowing and Sewing: A Sexagesima Story.</i> By Charlotte M. Yonge.,1883,Fiction,Fiction,Fiction,Book,"Walter Smith (late Mozley), 34 King Street, Covent Garden, London.",NA,NA,NA,Sowing and Sewing: A Sexagesima Story.By Charlotte M. Yonge.,Sowing and Sewing: A Sexagesima Story.,
