"general_bookID","author_surname","author_prefix","author_first_name","author_suffix","title","vols","imprint","date","notes"
"1014","Keary","","Anna Maria",""," \'The Cousins and their Friends\' ","1"," <i>Aunt Judy\'s Magazine</i> (May 1866-December 1867)","1866-1867","Published as by the author of <i>Sidney Grey</i>."
"1015","La Faye","","Jean Baptiste de la","","<i>Voyage pour la redemption des captifs aux royaumes d\'Alger et de Tunis, fait en 1720</i>","1","Paris: Sevestre","1721",""
"1016","Molesworth","","Mary Louisa","","<i>Summer Stories for Boys and Girls</i>","1","London: Macmillan","1882",""
"1017","Molesworth","","Mary Louisa","","<i>A Charge Fulfilled</i>","1","London: SPCK","1886","
"
"1018","Molesworth","","Mary Louisa","","<i>Us: An Old-Fashioned Story</i>","1","London: Macmillan","1885",""
"1019","Roberts","","Arthur","(editor)","<i>Mendip Annals, or, A Narrative of the Charitable Labours of Hannah and Martha More in their neighbourhood, being the journal of Martha More</i>","1","London: Nisbet","1859",""
"1020","Moberly","","A.","","<i>Lady Valeria: A Novel</i>","3","London: Bentley","1886",""
"1021","White","","J.T.","","<i>A History of Torquay</i>","1","Torquay: the Directory","1878",""
"1022","Benson","","Arthur Christopher","","<i>Memoirs of Arthur Hamilton</i> ed. \'Christopher Carr\' ","1","London: Kegan Paul","1886",""
"1023","King","","Harriet","","<i>The Sermon in the Hospital</i> ","1","London: Kegan Paul","1887",""
"1024","Lee","","Mary and Catherine","","<i>Goldhanger Woods: A Child\'s Romance</i>","1","London: National Society","1886",""
"1025","Gift","","Theo","","<i>Victims</i>","3","London: Hurst and Blackett","1887","The author\'s name was really Dora Havers, afterwards Boulger."
"1026","Whitney","","Adeline Dutton Train","","<i>Bonnyborough: A New England Story</i>","1","Boston: Houghton Mifflin","1885",""
"1027","Coleridge","","Christabel Rose","","\'Diamond cut diamond\'","1","<i>MP</i> (Christmas 1886), 29-41.","1886",""
"1028","Sewell","","Elizabeth Missing","","\'Family Traditions\'","1","<i>MP</i>  (July 1887), 56-63.","1887","See also [[person:1301]Elizabeth Sewell]."
"1029","Carte","The Rev.","Thomas","","<i>A General History of England</i>","4","London: Hodges","1747-1755","	 "
"1030","Pepys","","Samuel","","<i>An Account of the Preservation of King Charles II after the battle of Worcester</i>","1","London: Sandby","1766",""
"1031","Knight","","Charles","","<i>The Popular History of England</i>","8","London: Bradbury, Evans","1856-1862",""
"1032","Swinburne","","Algernon Charles","","<i>The Swinburne Letters</i> edited by Cecil Y. Lang","6","New Haven, Conn.: Yale University Press","1959-1962",""
"1033","Hardy ","","Thomas","","<i>Collected Letters of Thomas Hardy</i> ed. R. L. Purdy and Michael Millgate","7","Oxford: Clarendon Press","1978-1988",""
"1034","Besson","","Louis François","","<i>Frederick Francis Xavier de Mérode, his Life and Works</i> Translated by Lady Herbert","1","London: Allen","1887",""
"1035","Cuthbert","","Elizabeth","","<i>In St. Peter’s Shadow</i>","1","Woking: St. Peter\'s","1994",""
"1036","Roberts","","William","","<i>Memoirs of the Life and Correspondence of Mrs Hannah More</i>","4","London: Seeley","1834",""
"1037","Wilberforce","","Robert Isaac","and Samuel Wilberforce","<i>The Life of William Wilberforce</i>","5","London: Murray","1838",""
"1038","Weber","","Alice","","<i>Angela: A Sketch</i>","1","London: Walter Smith","1888","Originally published in <i>MP</i> (January-September 1888)."
"1039","Dempster","","Charlotte Louisa Hawkins","","\'A Georgian Princess\'","1","<i>MP</i> (January-May 1888)","1888",""
"1040","Dempster","","Charlotte Louisa Hawkins","","<i>Véra </i>","1","London: Smith, Elder","1871",""
"1041","Hills","","W. Jeffreys","","\'Papers on Rome\'","1","<i>MP</i> (January, February 1888)","1888",""
"1042","Pollard","","Alfred William","","\'English Miracle-Plays\'","1","<i>MP</i> (January 1888) 79-86.","1888",""
"1043","Gaye","","Selina","","\'Thoughts on the Conversion and Apostleship of S. Paul\'","1","<i>MP</i> (January 1888), 45-50.","","Signed \'S. G.\'."
"1044","Knatchbull-Hugessen","","Eva","","\'Papers on English Literature\'","1","<i>MP</i> (July 1888-June 1889)","1888-1889",""
"1045","Coleridge","","Christabel Rose","","\'Debatable Ground\'","1","<i>MP</i> (May 1886-January 1894)","1886-1894","This was a long-running essay competition organized by Christabel Coleridge."
"1046","Morgan","","Georgina","","\'Padre Agostino da Montefeltro\'","1","<i>MP</i> (February 1888), 185-6.","1888","Unsigned, but attributed by CMY."
"1047","Cazenove","","Annie Louise","","\'Sunday in a Workhouse Infirmary\'","1","<i>MP</i> (February 1888), 187-190.","1888",""
"1048","Bramston","","Mary Eliza","","\'Mother Carey and the Leaves (with apologies to the \'Water-babies\'.)","1","<i>MP</i> (February 1888) 190-2.","1888",""
"1049","","","","","<i>Girls: Their Work and Influence</i>","1","London: Skeffington","1877",""
"1050","Baker","","Amy Susan, Lady","","<i>Half-Hours with my Girls, or, ‘Talks about anything\'</i>","1","London: Hatchards","1879","
<br/>[[footnote:5]]Esmé Stuart [Amélie Leroy], <i>For Half a Crown</i>. National Society, 1887.
<br/>[[footnote:6]]Mary E. Palgrave <i>A Promise Kept</i>. National Society, 1887."
"1051","Stuart","","Esmé","","<i>For Half a Crown</i>","1","London: National Society","1887","Pseudonym of Amélie Leroy. "
"1052","Palgrave","","Mary E.","","<i>A Promise Kept</i>","1","London: National Society","1887",""
"1053","Cresswell","","Beatrix Feodore","","<i>The Royal Progress of King Pepito</i>","1","London: SPCK","1889","The author\'s name is spelt Beatrice in some catalogues."
"1054","Rosenthal","The Rev.","Michael","","<i>Isaiah and the Unity of his Prophecy:  Two Advent Lectures</i> ","1","London: Skeffington","1888",""
"1055","Trimmer","","Sarah","","<i>Sacred History, selected from the Scriptures, with Annotations and Reflections suited to the Comprehension of Young Minds</i>","6","London: Dodsley","1782-1785",""
"1057","Mavor","The Rev.","William","","<i>The English Spelling Book</i>","1","London: Phillips","1801",""
"1058","Turner","","Elizabeth","","<i>The Daisy, or, Cautionary Stories in Verse adapted to the Ideas of Children from Four to Eight Years Old</i> ","1","London: Harris","1807",""
"1059","Brougham ","","Catherine Anna Mona","","\'Early Recollections\'","1","<i>MP</i> (June 1888), 577-582.","1888",""
"1060","Bussell","","Euphemia E. G.","","\'The \\""One Grief\\"", or, Annals of an Irish Strawberry Girl\'","1","<i>MP</i> (June 1888), 577-582.","1888",""
"1061","Lefroy","","","","<i>Miss Margery’s Ways</i>","1","London: Smith and Innes","1887","
  "
"1062","Oswald","","Elizabeth Jane","","<i>The Dragon of the North: A Tale of the Normans in Italy</i>","1","London: Seeley","1887",""
"1063","Glaister","","Elizabeth","","<i>Bernard and Marcia: A Story of Middle Age</i>","3","London: Hurst and Blackett","1888",""
"1064","Stuart",""," Esmé ","","<i>Joan Vellacot</i> ","3","London: Bentley","1888","Pseudonym of Amélie Leroy. "
"1065","Osborne","","Dorothy","","<i>The Letters from Dorothy Osborne to Sir William Temple, 1682-54</i> ed. E. A. Parry","1","London: Griffith and Farran","1888",""
"1066","Scudéry","","Madeleine de","","<i>Artamene, ou, Le grand Cyrus</i>","10","Paris: Courbé","1749-1753",""
"1067","Stephenson","","Eliza","","<i>A Double Wedding</i>","3","London: Hurst and Blackett","1888",""
"1068","Crompton","","Frances Eliza","","<i>Friday\'s Child</i>","1","London: Smith and Innes","1889","Originally published, under the pseudonym \'Frances\', in <i>MP</i> (Christmas 1888), 1-47."
"1069","Schreiner","","Olive","","<i>The Story of an African Farm</i>","2","London: Chapman and Hall","1883","Published under the pseudonym \'Ralph Iron\'."
"1070","Whitaker","","Evelyn","","<i>Tip Cat</i>","1","London: Walter Smith","1884",""
