persons_id,surname,first_name,prefix,maiden_name,suffix,title,dates,description,biography
1892,Coleridge,James Duke,The Rev.,,,,(1789-1857),Rector of Thorverton,He was eldest brother of Sir John Taylor Coleridge and father of Sophia (Coleridge) Martyn. [ODNB]
1893,Prichard,,,,,,,friend of Edward and Mary Coleridge,The Mrs Pritchard or Prichard referred to in letters to the Rev. Edward Coleridge and his wife Mary is assumed to be one person.
1895,Heitland,Margaret ,,(Bateson),,,(1860-1938),"Editor of <i>The Queen</i> magazine, suffragist.
",She married in 1901.
1896,Brandt,Francis,,,,, (1839/40-1925),"contributor to <i>MP</i>, judge of the High Court of Madras",See <i>Alumni Oxonienses</i> ; his  obituary <i>The Times</i> (18 July 1925) 14.  He is remembered by cricketers: www.cricinfo.com.
1897,Brandt,Emily Charlotte,,,,,(1835-1926),sister of Francis Brandt,
1898,Brandt,Margaret Sophia,,,,,(1831/2-1892),sister of Francis Brandt,
1899,Brandt,Margaret Adelaide,,,,,(1845/6-1904),sister of Francis Brandt,
1900,Coleridge,Derwent,The Rev.,,,,(1800-1883),"younger son of the poet, father of Christabel Coleridge",
1902,,Richards,Mrs,,,,,schoolmistress,
1903,Macmillan,William Alexander,,,,, (1864–1966),youngest son of Alexander Macmillan,
1904,Willoughby,George Dobson,Lieutenant,,,,(1828/9-11 May 1857),"The text of his memorial in Bath Abbey is at http://glosters.tripod.com/IM8.htm

\'Sacred to the memory of George Dobson Willoughby, 1st Lieut. Bengal Artillery and Commissary of Ordnance at Delhi, aged 28 years. As a brave and zealous soldier he stood firm in defence of his post intrusted to him, and when resistance failed blew up the Delhi Magazine on 11 May 1857 to prevent its falling into the hands of the mutineers and rebels. Burnt and wounded he subsequently fell a prey to insurgents. This tablet is erected by his sorrowing relatives.\'

CMY included his story in <i>A Book of Golden Deeds</i>, having read about him in <i>The Times</i>.",
1905,Yonge,Catharina,,(Crawley),,,(1753-1842),paternal grandmother of CMY,"She married (1777) the Rev. Duke Yonge, Vicar of Cornwood.  She was daughter of Sir Thomas Crawley Boevey, 2nd Bt. (1745-1818).  "
1906,Barker,Frederic,The Rt. Rev.,,,,(1808-1882),"Anglican Bishop of Sydney, Australia (1854-1882)",
1907,Nobbs,Edwin,,,,,(d.1864),Melanesian missionary,"He was the son of the Rev. George Nobbs, who ministered to the Pitcairn community at Norfolk Island.  He was killed with arrows on the island of Santa Cruz along with Fisher Young. "
1908,Young,Fisher,,,,,(d.1864),Melanesian missionary,"He was a native of the Pitcairn community living on Norfolk Island, and was killed with arrows on Santa Cruz Island, along with Edwin Nobbs."
1909,Coxwell,,Mr,,,,,,
1910,Bridges,,Miss,,,,,invalid,
1911,Millais,John Everett,Sir,,1st Bt.,,(1829-1896),painter,"He married (1856) Euphemia Chalmers (Gray) Ruskin, whose marriage to John Ruskin had been annulled on grounds of non-consummation.  He was created 1st baronet in 1885."
1912,Holman Hunt,William ,,,,,(1827-1910),painter,
1913,Bonham Carter,Joanna Hilary,,,,,(1821-1865),cousin of Florence Nightingale,Several of her portraits of Nightingale were engraved and circulated widely.
1915,Kane,Elisha Kent,Dr,,M.D.,,(1820-1857),"physician, Arctic explorer",CMY included Dr Kane in <i>A Book of Golden Deeds</i> though she calls him Dr. Edward Kane.
1916,O’Donovan,John,,,,,(1809-1861),"Celticist


",
1917,Pughe,William Owen,,,,, (1759-1835)," lexicographer and mediaevalist.

",
1918,Freytag,Gustav,,,,, (1816-1895),German novelist and historian,
1919,Calvert,Mary,,(Fowler),,,(1814-1882),"missionary in Fiji

","She was the wife of the Methodist missionary James Calvert (1813-1892), who worked in Mbau in the 1850s.  With Mrs Richard Lyth she pleaded for the lives of 14 women who were to be killed and eaten.  The incident is described in James Calvert, <i>Fiji and the Fijians</i> (London : Alexander Heylin, 1858, rpt. Suva: Fiji Museum 2003)  Chapter 8, 290-1.
"
1920,Lyth,,Mrs,,,,,missionary in Fiji,"She was wife of the medical missionary Richard Burdsall Lyth (1810-1887).  The incident when she and Mary (Fowler) Calvert successfully pleaded for the lives of 14 women who were to be killed and eaten is described in James Calvert, <i>Fiji and the Fijians</i> (1858, rpt Suva: Fiji Museum 2003) 290."
1921,,Anne-Paule-Dominique,,(de Noailles),,marquise de Montagu,, (1766-1839),
1922, Montagu,"Anne-Paule-Dominique, Marquise de",,(de Noailles),,,(1766-1839),,
1923,Otté,Élise Charlotte,,,,,(Denmark <i>c.</i> 1820-1903 Surrey),writer and translator ,She was the author of <i>Scandinavian History</i> (London: Macmillan 1874).
1924,Hughes,Thomas,,,,,(1822-1896),author of <i>Tom Brown\'s School Days</i>.,
1925,Eastlake,Elizabeth,,"(Rigby), Lady",,,(1809-1893),critic,She married the painter Charles Lock Eastlake in 1849;  he was knighted in 1850.
