persons_id,surname,first_name,prefix,maiden_name,suffix,title,dates,description,biography
561,Giberne, Agnes, , , , , (1845-1939),"  novelist, contributor to <i>MP</i> (1893, 5)"," She sometimes wrote as A.G., and may be the author of earlier contributions to <i>MP</i> signed thus."
562,Gibson, William John, , , , , (b. Peshawur 1853),clerk," He married (1883) Emmeline Spratt.  He was a clerk in a City of London warehouse in the 1881 census.  He may or may not be the dissenting ‘clerk and of a station rather above, much given to good works’ to whom she was engaged in 1878."
563,Gidley, S. M., , , , , ," contributor to <i>MP</i> (1877, 79)",
564,Girdlestone, P. E. Gertrude, , , , , , contributor to <i>MP</i> (1899),
565,Glaister, Elizabeth, , , , , ," contributor to <i>MP</i> (1876-9), novelist and writer on embroidery",
566,Boyle, Montagu, , (Abercromby), , Countess of Glasgow, (d. 1931), philanthropist," She was wife of the 6th Earl of Glasgow (d. 1890), the original of Harry in Catherine Sinclair’s <i>Holiday House</i>."
567,Goodrich, A. M.,, , , , , contributor to <i>MP</i>,She wrote about  Canterbury Cathedral in the \'Cathedral Sketches\' series in <i>MP</i> (1859). She was the author of nineteen stories and tracts published by the SPCK as ‘by the author of <i>Hester</i> Blake’ (a story published in 1855) and others as ‘by the author of <i>The Chamois</i> Hunter’ (a work of which there seems to be no COPAC record).
568,Gordon, Arthur Charles Hamilton, The Hon. Sir,  , , 1st Lord Stanmore, (1829–1912), colonial governor,
569,Gordon, Mary Charlotte Julia, , , , , (1840-1926)," contributor to <i>MP</i>, cousin of Swinburne"," She was later (1865) Mrs Disney Leith.  She was a  niece of Lady Elinor Wodehouse and cousin of the poet Swinburne, who is said by some to have been in love with her."
570,Gordon, Jean, , , , , , contributor to <i>MP</i> (1893),
571,Gordon Cumming, Constance Frederica, , , , , (1837-1924)," travel writer, contributor to <i>MP</i> (1882-91)", Fifth dau of Sir William Gordon Cumming 2nd Bt. (1787-1854) and Eliza Campbell (d. 1842). [PB; Harvard Lib Cat]
572,Gordon, Alice May, , (Brandreth), , , (b.1853/4)," contributor to <i>MP</i>, writer as Mrs J.E.H. Gordon"," She married (1878) James Edward Henry Gordon, electrical engineer (1852-1893) [His ODNB entry says her surname is  unknown, but the 1881 census has Gordon at 32 Elvaston Place Kensington with wife Alice M and his father-in-law Joseph E F Brandreth, rtd ICS, magistrate. Gordon’s mother was named Brandreth; perhaps they were cousins]"
573,Gore, John Ellard, , , , , (1845-1910)," astronomer, contributor to <i>MP</i> (1891-5)",
574,Gorsuch, G., , , , , , paid money in 1857,
575,Grant, Catherine Ponton, , , , , , contributor to <i>MP</i> (1892),
576,Grant, Charles, , , , 1st Lord Glenelg,  (1788-1866), colonial secretary," He served as secretary of state for the colonies 1835-1839, notoriously lazy, he was created a peer in 1835. "
577,Graves, Henry, , , , , (1806-1892), would-be contributor," The reference to a sculpture of John Coleridge Patteson in the letter refusing an article called ‘Second Fiddles’ suggests that it may have been addressed to the print seller of that name, although the identification is not certain."
578,Gray, Robert, The Rt. Rev., , , , (3 Oct 1809-1 Sept 1872), Bishop of Cape Town,"  He became  Bishop of Cape Town in 1847.  He married (1836) Sophia Wharton Myddleton. [Morshead, <i>Robert Gray</i>; ODNB]"
579,Gray,Sophia Wharton, ,(Myddleton), , ,(1814-1871)," wife of the Rt. Rev. Robert Gray, Bishop of Cape Town", [ODNB]
580,Greatheed, Samuel Stephenson, , , , , ," writer on church music, contributor to <i>MP</i> (1881)",
581,Green, Fanny L., , , , , , contributor to <i>MP</i> (1891-5), She also contributed to <i>Ladies at Work</i> (London: Innes 1893).
582,Green, John Richard, The Rev., , , , (1837-1883), historian,
583,Greene, Louisa Lilias, The Hon. Mrs., (Plunket), , , (1833-1891)," author, contributor to <i>MP</i> (1875)", She married (1852) Richard Jonas Greene. [PB 1948]
585,Gregory, Eleanor C., ,  , , , ," author, contributor to <i>MP</i> (1895)",
586,Grigg, , Miss, , , , (fl.25 June 1862),  friend of Mary Adams and her aunt,
587,Grigorovitch, Demetrius, , , , , ,  contributor to <i>MP</i> (1861),
588,Grove, George, Sir, , , , (1820-1900), assistant editor of <i>Macmillan's Magazine</i>, He was assistant editor from 1866; famous as the editor of the <i>Dictionary of Music</i>;  he was knighted in 1883.
589,Grubbe,Alice, ,(Mackenzie), , ,(b.1823),sister of Anne Mackenzie,"Youngest sister of Anne Mackenzie and of the Rt. Rev. Charles Frederick Mackenzie, she married in Natal (1861) the Rev. Charles Septimus Grubbe. (1830-1910), S. P. G. missionary at Maritzburg 1858-61 and Archdeacon of Maritzburg 1861-5.[<i>Grubbe Family</i>;  LG Mackenzie]"
590,Grubbe, Charles Septimus, The Rev., , , , (1830-1910), missionary," He was SPG missionary at Maritzburg 1858-61 and Archdeacon of Maritzburg 1861-5.  He married (1861) at Bishopstoke, Natal, Alice Mackenzie, youngest sister of CF Mackenzie [<i>Genealogical Memoranda Relating to the Grubbe Family</i> (1893)]"
591,North,Francis,The Rev., , ,6th Earl of Guilford, (1772-1861)," pluralist, son of the Bishop of Winchester","He succeeded his distant cousin the fifth earl of Guilford in 1827. He was Master of St. Cross Hospital, Rector of St. Mary\'s, Southampton, and of Old Alresford, New Alresford and Medstead, mentioned by CMY (16 Jan 1854).  He was a notorious pluralist and sparked the debates which gave rise to Trollope’s <i>The Warden</i>."
592,Guinness, Avice Mary , , , , , (1870/1- 14 March 1950), daughter of the Rev. Robert Guinness and Grace Harriet Butler," [LG 1952 Guinness of Wootton Hall, <i>Guinness Family</i>]"
593,Guinness, Elizabeth Maud, , , , , (1868/9-1860)," headmistress, daughter of the Rev. Robert Guinness and Grace Harriet Butler"," [LG 1952 Guinness of Wootton Hall, <i>Guinness Family</i>; 1891 census]"
594,Guinness, Grace Harriet, , (Butler), , , (1847-1929), daughter of the Very Rev. W. J. Butler," She married (17 April 1866) the Rev. Robert Guinness (1841-1918),  [<i>Guinness Family</i>;  LG 1952 Guinness of Wootton Hall]"
595,Guinness, Henrietta Darley, , , , , (1886/7-after 1952), daughter of the Rev. Robert Guinness and Grace Harriet Butler," [LG 1952 Guinness of Wootton Hall, <i>Guinness Family</i>]"
596,Guinness, Mary Geraldine, , , , , (1888/9-after 1952),  daughter of the Rev. Robert Guinness and Grace Harriet Butler," She married James Alfred Fort and had issue.  [LG 1952 Guinness of Wootton Hall, <i>Guinness Family</i>]"
597,Guizot, François-Pierre-Guillaume, , , , , (4 Oct 1787-12 Sept 1874), French statesman,
598,Gull, William Withey, Sir, , 1st. Bt., , (1816-1890), physician," He gained his MD in 1846, was FRCP, was created a baronet 1872, and left £344,000 [ODNB]"
599,Gully, James Manby, Dr, , , , (1808-1883), physician," He founded Malvern hydropathic establishment in the early 1840s, but was ruined by the Bravo case of 1876, which revealed he had had an affair with a patient."
600,Gunton, Richard Thompson, , , , , (1846-1921), librarian at Hatfield House, He was private secretary to the 3rd Marquess of Salisbury 1816-73 and 1878-1903;  he was librarian at Hatfield House 1866-73 and 1878-1921.
601,Gurney, Alfred, The Rev., , , , (1843-1898)," Vicar of St. Barnabas, Pimlico, contributor to <i>MP</i> (1885-93)","  He was author of hymns, religious works and a study of D.G. Rossetti; he married (1866) Alice Blanche Gibbs, daughter of William Gibbs of Tyntesfield. [LG 1952]"
602,Haden, Seymour, , , , , (1818-1910), etcher and surgeon," Brother-in-law of Whistler, he was perhaps known to the Johns family. "
603,Hadwen, E., , , , , , contributor to <i>MP</i> ( 1876),
604,Halcombe,J. J.,The Rev., , , , ,editor of <i>Mission Life</i>,"He was editorial secretary to the SPCK, and published a biography of Bishop Mackenzie in 1870."
605,Hale, , Miss, , , , , interested in the Kebles,  
606,Halévy, Ludovic, , , , , (1834-1908)," French writer, contributor to <i>MP</i> (1894)",
607,Hall, S. Elizabeth, , , , , ," novelist, contributor to <i>MP</i> (1897)",
608,Hallett, Caroline Maria, , (Pilkington), , , (1841–1915), contributor to <i>MP</i> (1879-91)," She was author of sanitary tracts and religious works. She was the daughter of the Rev. Canon Charles Pilkington and the wife of the Rev. John Thomas Hallett, Vicar of Bishop\'s Tachbrook, Warwickshire."
609,Halliday, Francis Edward, General, , , , (1834-5 January 1911), brother-in-law of Gertrude Walter," He married (1866) Louisa, second daughter of Lt- Col Edward Walter.  In the 1891 census he was living at Itchen Cottage, Itchen Abbas with his wife and daughters Georgina, 23, Edith, 22,  Dora E., 17, Gertrude, 14, Violet, 13, and son Frank, 11.  In the 1901 census he was living at Upcott, Bishops Hall, Somerset,  with his wife Louisa, 59, and daughters Elizabeth, 26, Gertrude, 24, Violet Amy, 22, and three servants. The probate of his will was obtained by Gertrude Louisa Charlotte Manley wife of Harry Lamont Manley."
610,Halliday, Edith Mary, , , , ,(b.Otterbourne 1868), daughter of Louisa (Walter) Halliday,
611,Halliday, Lionel Edward, , , , , (b. 1872/3), son of Louisa (Walter) Halliday,
612,Halliday, Francis Noel, , , , , (b. 1889/90), son of Louisa (Walter) Halliday,
613,Halliday, Gertrude Louisa Charlotte, , , , , (b. 1876), daughter of Louisa (Walter) Halliday," She married (1901) Harry Lamont Manley, and she proved General Halliday’s will."
614,Halliday, Violet Amy, , , , , (b.1878), daughter of Louisa (Walter) Halliday,
615,Halliday, Medora Elizabeth, , , , , (b.1874), daughter of Louisa (Walter) Halliday, Sometimes called Dora. E. Halliday.
616,Halliday, Louisa, , (Walter), , , (Hyderabad 11 Dec 1840-1916), sister of Gertrude Walter and Frances (Walter) Yonge," Daughter of Lt- Col Edward Walter, she married (1866) Francis Edward Halliday (1834-1911).  She was sister of Gertrude Walter, Frances Yonge and Mary (Walter) Woollcombe.  She had a large family of whom CMY most often mentions her daughter Georgina Frances (Halliday) Mansfield (b.1868/9) who was three in 1871. [India Office, Bombay Baptisms, 1871 census when they were staying at Medstead with cousins]"
617,Halsey, Ethel, , , , , , contributor to <i>MP</i> (1898), She also published a study of the Renaissance painter Gaudenzio Ferrari.
618,Hammond, Frederick, The Rev., , , , , brother of Catharine Elgie, He was in charge of Otterbourne parish at the time of the 1881 census.
619,Hampton, Laura Elizabeth, Lady, (Phipps), , , , potential contributor," Daughter of the 2nd Marquess of Normanby, she married (1868) John Vivian Hampton (1835-1890), and is mentioned as a potential contributor in 1878."
620,Hardy, Gathorne, The Rt. Hon, , ," Viscount Cranbrook,", (1814-1906), conservative politician, He was created (1878) Viscount Cranbrook and (1892) 1st Earl of Cranbrook. [ODNB]
621,Harmes, Claus, , , , , , contributor to <i>MP</i> (1862), Probably the German theologian Claus Harms (1778-1855).
622,Harper,Joanna Dorothea Dyke, ,(Acland Troyte), , ,(1843/4-1917),member of the Gosling Society,"She was a Gosling as ‘Albatross’ and left in 1863.  Daughter of Arthur Henry Dyke Acland Troyte (born Acland, 1811-1857) and Frances Williams (d. 1856), she married (1864) Leonard Harper, son of the Rt. Rev. Henry John Chitty Harper (1804-1893), first Bishop of Christchurch, New Zealand.  She had a double wedding with her sister Mary who married the Rev. Walter Hook [1851 census, PB 1948 Acland, LG 1952 Harper]"
623,Harper,Henry John Chitty, The Rt. Rev., , , , (1804-1893),  Bishop of Christchurch and primate of New Zealand, [LG 1952]
624,Harris,William Charles, Captain, , , , (1809-1887), chief constable of Hampshire from 1843, Mentioned (24 Sept 1846).
625,Harris, George Collyer, The Rev., , , ," (Toronto, Canada 1833-4 May 1874)"," step cousin of CMY, contributor to <i>MP</i> (1869, 1870)","The only son of the Rev. Joseph H. Harris’s first marriage to Charlotte Collyer. She  died, probably in child birth in 1834 in Canada and Joseph remarried (1837) Jane Yonge, sister of Uncle Yonge, who had accompanied her sister Lady Seaton to Canada.  George Harris was born in Toronto and educated at Harrow and Exeter College Oxford (BA 1856, MA 1858)  He served as curate of Chipping Campden 1857-9, then Tor Mohun 1859-65;  he was Vicar of St Luke\'s, Torquay from 1865 until his death. He died at his parents\' house, Sorel, Torquay.  He married (London 1865) Percy [sic] Primrose (b. Quebec 1839/40) and had Edward Percy Harris (b.1866/7-?d.1872),  George Montagu Harris (b.1869) and Mary J Y Harris (b.1871), the latter the biographer of Frances Mary Peard. [Boase supp; 1871, 1901, 1881 census, information from Ian Yonge.]"
626,Harris, Mary Josephine Yonge, , , , , (b.1871)," daughter of the Rev. George Collyer Harris, biographer of Frances Mary Peard",
627,Harris, Jane, , (Yonge), , , (1796-1879), sister of Rev. John Yonge of Puslinch and Lady Seaton,"She married (1837, in Canada, where she had gone with the Seatons) the Rev. Joseph Hemington Harris (1799/1800-1881) D. D., incumbent of Torre, near Torquay, a widower with one son, the Rev. George Collyer Harris."
628,Harris, John, Dr., ,  M.D., , , physician,"  Described by CMY as  'a Plymouth man . .  a small man with a Jewish face and a nervous sensitive manner' [Coleridge, <i>Life</i> 100]"
629,Harris, Joseph Hemington, The Rev., , , , (1799/1800-25 June 1881), Vicar of Tor Mohun and Cockington," He married, first, Charlotte Collyer. She  died, probably in child birth in 1834 in Canada and H Joseph married (1837), also in Canada, Jane Yonge, CMY\'s father\'s first cousin.  His only child, the Rev. George Collyer Harris was born of the first marriage. The Rev.Joseph Harris was educated at St Paul’s School and St John’s College, Cambridge, Fellow of Clare Coll, Cambridge 1824-9, priest 1825, principal of Upper Canada College 1829-38, curate of Cockington 1845-8, of Tor Mohun 1848- his death. Died at Sorel, Torquay, [obituary <i>Guardian</i>  29 June 1881, 913 ]"
630,Harris, , Mrs, , , ,  (fl.19 Sept 1846), recommending a nurse to Alethea (Yonge) Anderson Morshead,
631,Harris, Percy, , (Primrose), , , (b. Quebec 1839/40), wife of the Rev. George Collyer Harris,
632,Harris, William, , , , , (fl.24 Sept 1846),no relation to the chief constable,"He and his wife were entertained at Puslinch in 1846.  He was probably William Harris, J. P., of Yealmpton, near Puslinch, and his wife, née Bulteel."
633,Harris, William, , , , , , solicitor," His address was 5 Stone Buildings, Lincoln's Inn;  he was solicitor to JBY's marriage settlement;  he is last listed in the <i>Law List</i> 1883, "
634,Harrisson [sic], Robert Everson, The Rev., , , , (1818/9-1902), Rector of Bishopstoke," He was to decide on the date for the consecration of Eastleigh church, 1868, Eastleigh being a new parish carved out of Bishopstoke.  The first incumbent, the Rev. W. A. Longlands, was appointed Vicar of Eastleigh, by Bishopstoke Station in the following year. [<i>Jackson’s Oxford Journal</i> 23 January 1869]"
635,Harrison, Robert, , , , , (1820-1897)," librarian of the London Library, 1857-1893",  
636,Harrison, William Dann,The Rev., , , , , Vicar of South Stoneham,
637,Harrison, F., , , , , , contributor to <i>MP</i> (1869-89),
638,Harrison, Sophia Jane, , (Collinson), , , (1826-1891), wife of Thomas Elliot Harrison," Daughter of the Rev. John Collinson, Rector of Boldon, and Amelia King,  she married (6 January 1859), as his second wife, Thomas Elliot Harrison (1808-1888), of Whitburn, Sunderland-on-Wear, the distinguished railway engineer and entrepreneur, see ODNB.  They had two sons and four daughters;  one of the latter, Katharine Charlotte Harrison, was CMY’s goddaughter.  CMY stayed with them at Whitburn and at their house in Paddington in London.  See the dedication of <i>Grisly Grisell</i>.  Sophia Harrison’s sister Thomasine Septima Collinson married the Rev. Henry de Winton (d. 1895), Archdeacon of Brecknock, and is probably the Mrs de Winton mentioned in the letter to her.  However,  Julia Cecilia Collinson (1812-1876) who married first (1831) Walter de Winton, ne Wilkins (d.1840), and secondly (1857) William Stretton (d 1868) , whose biography CMY wrote in <i>Women Novelists of Queen Victoria’s Reign</i>, was also a member of this family, another sister of Mrs Harrison.  [Sutherland, <i>Longman Companion</i>, under Stretton; LG 1952 de Winton; ODNB T. E. Harrison; PB 1914;  Coleridge, <i>Life</i> 31-2; corr. N&Q (1908)]"
639,Hart, Elizabeth Anna, , (Smedley), , , (1822-1890),"  contributor to <i>MP</i>, novelist and children’s writer"," Sister of the writer Menella Bute Smedley, contributor to <i>MP</i> (1874-6)"
640,Hart, Mabel, , , , , ," novelist, contributor to <i>MP</i> (1895, 96)",
641,Hart, , Mr, , , , , an opponent," He is described as holding his hand in 1870, perhaps an opponent of some project, for church or school?"
642,Hartley, , Mrs, , , , , contributor to <i>MP</i> (1890),
643,Harvey, Mary Nunn, , , , , (1834/5-1897)," donor of the Girls’ Friendly Society Home at Shanklin, Isle of Wight",  Her death was registered in the last quarter of 1897.
644,Hasell, E., , , , , (d. 1889 or earlier), contributor to <i>MP</i> (1889)," Probably Elizabeth Julia Hasell (1830-1887), author."
645,Hawkins, , Mrs, , , , , unfortunate, Described as poor Mrs Hawkins in September 1868.
646,Hawksley, John, The Rev., , , , , friend of Susanna Warren," His address was 12 the Polygon, Clifton, Bristol;  he was a clergyman without cure of souls with whom Susanna Warren was staying 1861."
647,Hay, Clifford, , , , , , contributor to <i>MP</i> (1898),
648,Hay, William, , , , , (1788-1876), of Dunse Castle,"  He was a connection of the Yonges, having married Mary Garstin (d. 1863), first cousin of Lord Seaton, Aunt Duke and Aunt Yonge. Their daughter Cordelia Hay married (1848) John Bargus Yonge (1821-1863), of Puslinch, Anne's brother, her second cousin.  Their daughter Mary (d. 1855) married, as his second wife, George Stirling-Horne-Drummond (1813-1876) of Blair Castle."
649,Haydn-Byrne, William A., , , , , , contributor to <i>MP</i> (1893),
650,Hayllar, Florence H., , , , , ," poet, contributor to <i>MP</i> (1892)",
651,Hayward, Augusta C., , , , , , contributor to <i>MP</i> (1868),
652,Hazelby, Henrietta, , , , , (b. Hursley 1844), housemaid, CMY’s housemaid at Elderfield in 1871 and 1881.   She was a dressmaker living alone in the 1901 census.
653,Heathcote, Arthur Malcolm, , , , ,(22 April 1847-1934)," schoolmaster, contributor to <i>MP</i> (1885), publisher"," Son of Sir William Heathcote, he married (20 Aug 1879) Mary Forbes Young (d. 13 Jan 1903), daughter of the Rev. James Gavin Young, Vicar of Hursley.  For some years he ran a prep school at Hursley.  However, he is listed in the 1891 census as a \'publisher\', and it seems likely that he was the son of Sir William whom CMY mentioned in 1887 as working for George Allen and Sons."
655,Heathcote, Beatrice Henrietta, , , , , (1856-1909), twin daughter of Sir William Heathcote,
656,Heathcote, Jennetta Alethea, , , , , (1856-1887),  twin daughter of Sir William Heathcote,
657,Heathcote, Caroline, ,"(Perceval), the Hon. Lady",, , (d.1835)," first wife of Sir William Heathcote, daughter of Lord Arden",
658,Heathcote, Elizabeth, , (Bigg), , , (1773-23 March 1855), mother of Sir William Heathcote," Friend of Jane Austen as Elizabeth Bigg, she married (1798) the Rev. William Heathcote (1772-1802)."
659,Heathcote, Evelyn Dawsonne, The Rev., , , ,  (11 Nov 1844-1 May 1908), son of Sir William Heathcote, He married (19 December 1876) Grace Hussey.  He was the fifth son (second by the second marriage) of Sir William Heathcote [PB Heathcote]
660,Heathcote, George Parker, , , , ,(1828-15 Feb 1871), son of Sir William Heathcote’s first marriage, He returned from India a cripple with ‘creeping paralysis’ in February 1860. He married (15 Jun 1869) his cousin Isabella Margaretta Elizabeth Walpole (d. 1938). After the Moberlys left Field House he lived there. 
661,Heathcote, Gilbert Vivyan, The Rev., , , , (12 July 1830-7 Feb 1890), son of Sir William Heathcote’s first marriage," After going into the army and rather disappointing his father, he joined the church and became Rector of West Deeping, Lincolnshire.  He married three times, and CMY described him as ‘very hardworking & <i>very</i> High Church’."
662,Heathcote, Grace, , (Hussey), , ,(b. 1843/4), contributor to <i>MP</i> (1889)," Wife of the Rev. Evelyn Heathcote, she contributed ‘The Guiding Principle in Art’ to <i>MP</i>."
663,Heathcote, Helena Mary, , , , , (12 March 1853-1925), daughter of Sir William Heathcote,
664,Heathcote, Letitia Maria, , (Daly), , , (1828/9-1910), daughter-in-law of Sir William Heathcote," A Roman Catholic, she married (1849) Sir William Perceval Heathcote, 6th Bt.."
665,Heathcote,Selina, ,"(Shirley), Lady", ,, (1814/5-1901), second wife of Sir William Heathcote, She married Sir William Heathcote 5th Bt. as his second wife (18 May 1841).
666,Heathcote, Selina Frances, , , , , (4 May 1842-1916), daughter of Sir William Heathcote., As a child she had irons on her legs and is called \'little Fanny\'.  The 1901 census describes her as ‘Feeble-minded (from childhood).’
667,Heathcote, William Beadon, The Rev., , , , (1812-1862), precentor of Salisbury Cathedral," Son of the Rev. Gilbert Heathcote, Vicar of Hursley;  he was precentor of Salisbury Cathedral till his death; he wrote hymns; he was Warden of Radley College 1852-3;  he married (1852) Elizabeth Mary Deane."
668,Heathcote, William Perceval, Sir, , 6th Bt., , (7 Sept 1826-29 Oct 1903), eldest son of Sir W. Heathcote," He married, while quartered in Ireland Oct (or PB 5 Sept 1849?) Letitia Maria Daly (d. 22 Aug 1910) ' in haste a young and devout Roman Catholic lady who was quite unknown to all his relations'.  He later converted to Roman Catholicism. [Awdry, <i>Heathcote</i>; PB]"
669,Heathcote, William, Sir, , 5th Bt., , (17 May 1801-17 Aug 1881), landowner," He married, first (8 Nov 1825) the Hon. Caroline Frances Perceval (d. 3 Mar 1835) and secondly (18 May 1841) Selina Shirley (d. 1901)."
670,Heathcote, Charles George, Major, , , , (1843-1924), army officer," Son of Sir William Heathcote, 5th Bt., by his second marriage."
671,Heathcote, Gilbert Redvers, Sir, , 8th Bt., , (1854-1937), landowner," He was grandson of Sir William Heathcote, 5th Bt.."
672,Heathcote, William Arthur, Sir, ," 7th Bt., S.J.", , (1853-1924), priest,"  He was grandson of Sir William Heathcote, 5th Bt.."
673,Hebel, Johann Peter, , , , , (1760-1826)," German author, contributor to <i>MP</i> (1871)",
674,Hedges, Anne, , , , ,  (fl.15 March 1852), mentioned,
675,Helmore, Katherine Olive, , , , , (1844/5-1923), member of the Gosling Society," She was daughter of the Rev. Thomas Helmore (1811-1890), Precentor of St. Mark's College Chelsea and master of the choristers of the Chapel Royal, and his wife Kate Wilson Pridham (1816/7-1886), sister of Mrs Derwent Coleridge.  She was a Gosling as ‘Cobweb’. [1881 census, will index;  Frederick Helmore <i>T. Helmore</i>]"
676,Helmore, Margaret Cecilia, , , , , (b.1849)," novelist, cousin of Christabel Coleridge.","  The younger sister of Katherine Helmore, she was author of <i>Luna</i> (1873) and <i>Cap and Bells</i> (1875).  In the 1891 census she described herself as an editor in the employment of Ward, Lock and Co.."
677,Henderson, William, , , , , (b. 1815/6), uncle of Susanna Warren," His address was 3 South Bailey, Durham;  he was a woollen manufacturer, and uncle (though younger) of Susanna Warren. "
678,Henderson, William George, The Rev., , , , (1819–1905), contributor to <i>MP</i> (1862)," He married (1852) Jane Melville (d. 1901);  he was contributor to <i>MP</i> (1862) as W. H.;  he may also be the contributor of 1866 with the same signature.  He was one of the editors of the Surtees Society’s publications, and was evidently the author of the series of articles ‘Notes on the Folk Lore of the North of England’ which appeared in the <i>Monthly Packet</i> in 1862 signed ‘W. H.’. His ODNB entry implies that he did not move from Jersey to become headmaster of Leeds Grammar School until 1862, but this letter suggests that he was already residing in the north of England in the previous year."
679,Herbert, Lucy Caroline,  Lady, , , , (1819/20-1884), church worker," Eldest sister of the 3rd Earl of Powis, she married (1865) Frederick Calvert (d. 1891). Her sister Lady Harriet Jane Herbert (1831/2- 1880) had also worked for the New Zealand Bells.  "
680,Herbert, Harriet Jane, Lady, , , , (1831/2-1880), church worker," Sister of Lady Lucy Herbert, she raised money so that church bells should ring for the first time in Auckland, New Zealand."
681,Herbert, M. J., , , , , , contributor to <i>MP</i> (1889),
682,Herculano de Carvalho e Araujo, Alexander, , , , ,  (1810-1877),"  Portuguese novelist and poet, contributor to <i>MP</i> (1877)",
683,Hereward, L., , , , , ," contributor to <i>MP</i> (1893, 97)",
684,Hewett, A. M., , , , , , contributor to <i>MP</i> (1888),
685,Heygate,William Edward, The Rev., , , , (1816-1902), contributor to <i>MP</i> (1869)," A curate in Cornwall and Essex, he became Vicar of Brighstone, Isle of Wight in succession to the Rt. Rev. George Moberly.  He was a  theologian and Tractarian novelist. [ODNB]"
687,Hibbert, C., , , , , , paid money 1857,
688,Hicks, John, , , , , (b. Hursley 1828/9),schoolmaster in Otterbourne,"He was son of Charles Hicks, carpenter, and was described as a carpenter himself in the 1851 census.  In 1861 and 1871 he was \'schoolmaster\'."
689,Hicks, Edmund, , , , , (b. 1822/3), carpenter,"He lived in Otterbourne, working as carpenter and wheelwright;  he was husband of Mary Hicks and father of Mary Hicks (b. 1845/6), and probably the Hicks making FMY\'s coffin 5 Oct 1868."
690,Hicks, Mary, , , , , (b. 1816/7)," wife of Edmund Hicks, carpenter", Probably the Mrs Hicks mentioned  (16 April 1860).
691,Hicks, Mary, , , , , (b. Hursley 1845/6)," nurserymaid, daughter of Edmund Hicks"," Daughter of Edmund and Mary Hicks of Otterbourne, she is recorded as nurserymaid to the four small children of the Rev. George Merriman, headmaster of the Royal Grammar School Guildford in the census of 7 April 1861, but was sent home for idleness by 28 May 1862."
692,Hickes, Frances Alethea, , (Pode), , , (1845-1929), first cousin of CMY,"  Daughter of WCY’s sister Anne (Yonge) Pode, and sister of John Duke Pode,  Charlotte Cordelia (Pode) Yonge and Anne Catharina (Pode) Woollcombe, she married (1873)  the Rev. Thomas Harold Frederick Hickes (d. 1907), who was curate of Hursley in 1875 [PO Directory Hants 1875; LG 1952; birth register]"
693,Higginbotham, , Miss, , , , , correspondent,
694,Higginson, Dorothy, , , , , , contributor to <i>MP</i> (1892-5),
695,Hildyard, Evelyn Matilda , , , , , (b. 1851/2), member of the Gosling Society," A Gosling as ‘Hazel-nut’, she was daughter of the Rev. James Hildyard, Rector of Ingoldsby, and Eliza Kinderley [LG 1952, 1965 Hildyard]"
696,Hills, Katharine, , , , , , contributor to <i>MP</i> (1898),
697,Hills, William Jeffreys, The Rev., , , , (1828/9-1898)," Vicar of Cookham, contributor to <i>MP</i> (1888)"," He contributed papers on Rome to <i>MP</i> in 1888.  He also published sermons and <i>A Manual of Church Reform</i> (1887), read to the English Church Union, which indicates a Tractarian affiliation."
698,Hincks, J. G., , , , , ,"contributor to <i>MP</i> (1865, 68)"," There are payments to Miss J. G. Hincks in the bank account.  An article in the <i>Anthropological Review</i> 7 (April 1869) was translated from Spanish by J.G.Hincks, and since the <i>MP</i> work deals with Moorish material it is reasonable to see her as an expert on Spain."
699,Hinkson, Katharine, , (Tynan), , , (1859-1931), contributor to <i>MP</i> (1893-7)," Irish novelist and poet, she married (1893) H.A. Hinkson."
700,Hoare, Laura, ," (Cator, afterwards Lennard)", , , (1852-1929), ward of Anne Sturges Bourne," She and her sister Penelope were daughters of John Farnaby Cator (1816-1899), who assumed the surname Lennard and was created Sir John Lennard, 1st Bt. in 1880.  Their mother was his first wife Laura Golding (d.1850), who was cousin to Anne Sturges Bourne.  Laura Lennard married (1878) William Hoare (d.1925)."
701,Hobart-Hampden, Jane, , (Awdry), , , (d.1874), mother of the Rev. Alfred Hobart-Hampden,
702,Hobart-Hampden, Sarah Maria, , , , , (d.1939), sister of the Rev. Alfred Hobart-Hampden,
703,Hobart-Hampden, Alfred Bertie, The Rev., , , , (1860-1923)," Rector of Cottered, Herts.",
704,Hobhouse, Violet, , , , , ," novelist, contributor to <i>MP</i> (1899)",
705,Hoets, Maurice Erskine, The Rev., , , , (b. 1857/8 Cape of Good Hope ), Vicar of Twyford until 1900, He married Edith Byard Smith in Cambridge in 1882.
706,Holbeach, Mary Caroline, , (Walrond), , , (1854-1933), correspondent, The letters to Mrs Holbeach in 1893-4 were probably addressed to the wife of Walter Henry Holbeach (1846-1901) of Farnborough Hall (which is the address on the envelope). 
707,Holland, Francis James, The Rev., , , , (1828–1907), educationist,
708,Hollings, Fanny Sophia, , , , , ," novelist, contributor to <i>MP</i> (1881)",
709,Hook, Walter Farquhar, The Very Rev., , , , (1798-1875), Vicar of Leeds then Dean of Chichester,  He became Dean of Chichester in 1859.
710,Hooper, Eliza, , , , , , mentioned as marrying (1845) James Littlefield, They probably lived in Otterbourne.
